domain,space,wind,Rm,level,cells,h,Rm_h,dof,k,re,im,status
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,3,4.018095366321444,-0.19575837591391426,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,4,4.018095366321444,0.19575837591391426,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,5,4.986041931292548,-3.584880029317593e-15,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,6,4.986041931292548,3.584880029317593e-15,ok
square,N1curl,beltrami,0.1,1,256,0.39269908169872414,0.039269908169872414,545.0,7,7.878997493740785,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,0,1.0019271733965085,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,1,1.0019271733965196,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,2,2.0003353501775396,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,3,4.005538183351644,-0.19896862775907725,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,4,4.005538183351644,0.19896862775907725,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,5,5.005600539697931,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,6,5.005600539697952,0.0,ok
square,N1curl,beltrami,0.1,2,1024,0.1963495408493623,0.01963495408493623,2113.0,7,7.984918843027407,0.0,ok
square,N1curl,beltrami,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,0,1.0017307614677207,0.0,ok
square,N1curl,beltrami,0.1,3,4096,0.09817477042468159,0.009817477042468159,8321.0,1,1.0017307614677795,0.0,ok
